Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	60.074	#E6AAFA	Lee Filters	Light Lavender	52
410	59.803				
415	59.628				
420	62.367				
425	65.319				
430	65.337				
435	64.758				
440	66.292				
445	68.755				
450	69.047				
455	67.008				
460	65.58				
465	65.773				
470	66.2				
475	64.658				
480	61.51				
485	58.277				
490	56.102				
495	54.102				
500	51.36				
505	47.492				
510	43.273				
515	39.249				
520	36.308				
525	34.082				
530	31.897				
535	29.357				
540	26.414				
545	23.112				
550	19.938				
555	17.459				
560	16.096				
565	16.009				
570	17.253				
575	19.505				
580	22.522				
585	25.953				
590	29.558				
595	33.035				
600	35.346				
605	36.22				
610	35.689				
615	34.454				
620	33.097				
625	32.791				
630	34.16				
635	37.486				
640	42.843				
645	49.542				
650	56.843				
655	63.502				
660	69.271				
665	73.669				
670	77.293				
675	79.728				
680	81.783				
685	83.012				
690	84.467				
695	85.554				
700	85.857				
705	85.866				
710	85.881				
715	85.909				
720	85.96				
725	86.05				
730	86.204				
735	86.458				
740	86.845				
745	87.371				
750	87.986				
755	88.591				
760	89.091				
765	89.45				
770	89.681				
775	89.819				
780	89.9				
785	89.945				
790	89.97				
795	89.983				
800	89.99				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
