Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	73.475	#E6E6FA	Lee Filters	Paler Lavender	53
410	76.573				
415	76.761				
420	75.13				
425	76.404				
430	80.341				
435	80.742				
440	78.054				
445	77.775				
450	80.954				
455	82.705				
460	80.939				
465	78.015				
470	77.858				
475	80.622				
480	81.747				
485	79.433				
490	76.006				
495	74.382				
500	74.567				
505	75.321				
510	74.363				
515	71.35				
520	68.079				
525	66.049				
530	65.102				
535	64.617				
540	63.359				
545	61.072				
550	58.31				
555	55.648				
560	53.839				
565	52.675				
570	52.447				
575	52.761				
580	53.374				
585	54.727				
590	56.149				
595	57.813				
600	58.763				
605	58.968				
610	58.303				
615	56.947				
620	55.852				
625	55.536				
630	56.911				
635	59.734				
640	63.956				
645	68.495				
650	72.953				
655	76.231				
660	78.896				
665	80.42				
670	81.821				
675	83.227				
680	84.836				
685	86.238				
690	87.849				
695	88.999				
700	88.836				
705	88.838				
710	88.843				
715	88.851				
720	88.865				
725	88.89				
730	88.933				
735	89.005				
740	89.113				
745	89.261				
750	89.434				
755	89.604				
760	89.745				
765	89.845				
770	89.91				
775	89.949				
780	89.972				
785	89.984				
790	89.991				
795	89.995				
800	89.997				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
