Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	41.528	#B46EF0	Lee Filters	Lavender	58
410	44.066				
415	45.899				
420	48.666				
425	51.667				
430	53.607				
435	55.783				
440	58.68				
445	59.083				
450	56.953				
455	55.731				
460	55.396				
465	53.068				
470	48.672				
475	44.961				
480	41.849				
485	38.228				
490	33.503				
495	28.673				
500	24.397				
505	20.256				
510	16.227				
515	12.578				
520	9.798				
525	7.868				
530	6.42				
535	5.171				
540	3.971				
545	2.854				
550	1.938				
555	1.321				
560	1.005				
565	0.933				
570	1.078				
575	1.459				
580	2.198				
585	3.334				
590	5.0				
595	6.978				
600	8.623				
605	9.295				
610	8.89				
615	7.887				
620	6.941				
625	6.585				
630	7.23				
635	9.292				
640	13.556				
645	20.439				
650	30.089				
655	41.082				
660	52.14				
665	61.393				
670	69.144				
675	74.944				
680	79.108				
685	81.853				
690	84.036				
695	85.234				
700	85.602				
705	85.611				
710	85.627				
715	85.657				
720	85.711				
725	85.806				
730	85.97				
735	86.24				
740	86.65				
745	87.209				
750	87.862				
755	88.504				
760	89.035				
765	89.416				
770	89.661				
775	89.808				
780	89.893				
785	89.941				
790	89.968				
795	89.982				
800	89.989				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
