Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	75.129	#DCF5FF	Lee Filters	Mist Blue	61
410	79.184				
415	82.456				
420	82.438				
425	81.333				
430	82.295				
435	84.028				
440	85.146				
445	85.391				
450	85.515				
455	85.544				
460	85.323				
465	84.799				
470	85.072				
475	86.214				
480	86.937				
485	85.981				
490	83.327				
495	81.117				
500	80.103				
505	80.424				
510	80.658				
515	79.452				
520	76.601				
525	73.645				
530	70.976				
535	69.339				
540	67.664				
545	64.993				
550	61.067				
555	56.964				
560	54.083				
565	52.883				
570	54.038				
575	56.236				
580	58.128				
585	59.399				
590	58.991				
595	57.434				
600	54.737				
605	52.312				
610	51.068				
615	50.199				
620	49.695				
625	49.363				
630	49.523				
635	49.519				
640	49.617				
645	49.302				
650	48.21				
655	45.458				
660	41.213				
665	36.698				
670	34.782				
675	34.674				
680	37.092				
685	43.023				
690	51.053				
695	58.379				
700	63.613				
705	67.323				
710	70.511				
715	73.251				
720	75.606				
725	77.63				
730	79.369				
735	80.864				
740	82.148				
745	83.252				
750	84.201				
755	85.016				
760	85.717				
765	86.319				
770	86.837				
775	87.281				
780	87.664				
785	87.992				
790	88.274				
795	88.517				
800	88.686				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
