Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	7.95	#006EB9	Lee Filters	Deeper Blue	85
410	10.331				
415	12.776				
420	15.696				
425	19.426				
430	23.549				
435	27.909				
440	31.71				
445	33.261				
450	33.909				
455	34.303				
460	33.336				
465	31.268				
470	29.367				
475	27.104				
480	23.873				
485	20.274				
490	16.801				
495	13.34				
500	10.231				
505	7.835				
510	5.937				
515	4.276				
520	2.781				
525	1.621				
530	0.872				
535	0.482				
540	0.288				
545	0.192				
550	0.135				
555	0.088				
560	0.049				
565	0.023				
570	0.01				
575	0.01				
580	0.01				
585	0.01				
590	0.01				
595	0.01				
600	0.01				
605	0.01				
610	0.01				
615	0.01				
620	0.01				
625	0.01				
630	0.01				
635	0.01				
640	0.01				
645	0.02				
650	0.091				
655	0.355				
660	1.007				
665	1.901				
670	2.753				
675	3.648				
680	4.919				
685	7.216				
690	11.943				
695	19.667				
700	29.398				
705	37.918				
710	45.241				
715	51.534				
720	56.942				
725	61.59				
730	65.584				
735	69.017				
740	71.967				
745	74.502				
750	76.681				
755	78.554				
760	80.163				
765	81.546				
770	82.735				
775	83.756				
780	84.634				
785	85.388				
790	86.037				
795	86.594				
800	86.983				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
