Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.204	#00BE00	Lee Filters	Dark Yellow Green	90
410	0.245				
415	0.275				
420	0.303				
425	0.324				
430	0.331				
435	0.347				
440	0.371				
445	0.408				
450	0.478				
455	0.584				
460	0.76				
465	1.042				
470	1.524				
475	2.376				
480	3.803				
485	6.118				
490	9.537				
495	13.884				
500	18.411				
505	22.68				
510	26.322				
515	28.437				
520	29.118				
525	28.79				
530	27.208				
535	24.833				
540	21.804				
545	18.234				
550	14.398				
555	10.758				
560	7.465				
565	4.808				
570	2.934				
575	1.774				
580	1.045				
585	0.633				
590	0.371				
595	0.204				
600	0.104				
605	0.053				
610	0.03				
615	0.02				
620	0.015				
625	0.016				
630	0.017				
635	0.019				
640	0.022				
645	0.029				
650	0.028				
655	0.027				
660	0.018				
665	0.012				
670	0.01				
675	0.01				
680	0.01				
685	0.015				
690	0.038				
695	0.109				
700	0.527				
705	0.711				
710	1.046				
715	1.654				
720	2.748				
725	4.683				
730	8.018				
735	13.499				
740	21.851				
745	33.216				
750	46.511				
755	59.572				
760	70.376				
765	78.113				
770	83.1				
775	86.1				
780	87.83				
785	88.803				
790	89.343				
795	89.64				
800	89.778				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
