Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.045	#FFF500	Lee Filters	Yellow	101
410	0.025				
415	0.017				
420	0.013				
425	0.012				
430	0.01				
435	0.01				
440	0.012				
445	0.019				
450	0.026				
455	0.045				
460	0.099				
465	0.258				
470	0.797				
475	2.421				
480	6.22				
485	12.932				
490	21.55				
495	31.336				
500	41.543				
505	50.802				
510	57.917				
515	63.264				
520	67.84				
525	72.647				
530	76.735				
535	79.536				
540	81.136				
545	82.194				
550	83.031				
555	84.096				
560	84.877				
565	85.977				
570	86.416				
575	86.732				
580	87.299				
585	87.607				
590	87.891				
595	88.117				
600	87.946				
605	87.559				
610	87.171				
615	87.409				
620	87.309				
625	87.806				
630	88.661				
635	89.308				
640	89.405				
645	89.59				
650	88.782				
655	87.926				
660	87.164				
665	86.792				
670	87.075				
675	87.611				
680	88.46				
685	89.555				
690	90.634				
695	90.911				
700	91.109				
705	90.953				
710	90.819				
715	90.704				
720	90.605				
725	90.52				
730	90.447				
735	90.384				
740	90.33				
745	90.284				
750	90.244				
755	90.209				
760	90.18				
765	90.155				
770	90.133				
775	90.114				
780	90.098				
785	90.084				
790	90.073				
795	90.062				
800	90.055				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
