Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.761	#FFDC00	Lee Filters	Deep Amber	104
410	0.48				
415	0.318				
420	0.233				
425	0.185				
430	0.168				
435	0.177				
440	0.21				
445	0.279				
450	0.398				
455	0.617				
460	1.057				
465	1.949				
470	3.744				
475	6.788				
480	10.823				
485	14.915				
490	18.047				
495	20.576				
500	23.144				
505	25.997				
510	29.282				
515	32.373				
520	35.07				
525	37.625				
530	41.452				
535	47.071				
540	54.437				
545	62.035				
550	68.298				
555	72.65				
560	75.631				
565	78.349				
570	81.021				
575	83.182				
580	84.297				
585	84.184				
590	83.201				
595	82.003				
600	80.853				
605	80.493				
610	81.475				
615	82.969				
620	84.511				
625	85.612				
630	86.241				
635	85.609				
640	84.492				
645	83.304				
650	82.115				
655	81.426				
660	81.556				
665	81.938				
670	82.94				
675	84.07				
680	84.737				
685	85.323				
690	85.659				
695	85.45				
700	85.472				
705	85.482				
710	85.498				
715	85.529				
720	85.585				
725	85.683				
730	85.851				
735	86.129				
740	86.551				
745	87.126				
750	87.799				
755	88.46				
760	89.007				
765	89.398				
770	89.651				
775	89.803				
780	89.89				
785	89.939				
790	89.967				
795	89.982				
800	89.989				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
