Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	50.175	#FFA5AF	Lee Filters	Light Rose	107
410	51.18				
415	51.192				
420	51.347				
425	51.678				
430	51.971				
435	51.642				
440	50.525				
445	49.113				
450	46.919				
455	44.275				
460	41.672				
465	39.618				
470	37.863				
475	35.809				
480	33.615				
485	31.294				
490	29.606				
495	28.479				
500	27.967				
505	27.778				
510	27.538				
515	27.339				
520	27.27				
525	27.607				
530	28.421				
535	29.644				
540	31.347				
545	33.436				
550	35.576				
555	37.531				
560	39.227				
565	41.485				
570	45.567				
575	51.734				
580	59.026				
585	65.862				
590	72.373				
595	78.494				
600	83.155				
605	85.811				
610	86.853				
615	87.039				
620	86.661				
625	86.965				
630	87.76				
635	88.916				
640	90.099				
645	91.185				
650	91.651				
655	91.925				
660	91.822				
665	91.28				
670	90.543				
675	90.072				
680	89.759				
685	89.724				
690	89.796				
695	89.998				
700	90.071				
705	90.061				
710	90.052				
715	90.045				
720	90.039				
725	90.033				
730	90.029				
735	90.025				
740	90.021				
745	90.018				
750	90.016				
755	90.013				
760	90.012				
765	90.01				
770	90.009				
775	90.007				
780	90.006				
785	90.005				
790	90.005				
795	90.004				
800	90.004				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
