Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	34.847	#FCBEA9	Lee Filters	English Rose	108
410	34.071				
415	33.776				
420	33.957				
425	34.116				
430	34.027				
435	33.607				
440	32.904				
445	31.947				
450	30.853				
455	29.902				
460	29.29				
465	28.97				
470	28.472				
475	27.9				
480	27.431				
485	27.319				
490	27.765				
495	28.341				
500	28.921				
505	29.38				
510	29.769				
515	30.427				
520	31.742				
525	33.578				
530	35.794				
535	37.979				
540	40.073				
545	42.257				
550	44.908				
555	48.12				
560	51.896				
565	56.8				
570	62.826				
575	69.414				
580	76.206				
585	81.231				
590	84.334				
595	86.332				
600	87.49				
605	88.438				
610	88.825				
615	89.633				
620	89.86				
625	89.925				
630	89.83				
635	89.794				
640	89.823				
645	89.857				
650	90.293				
655	90.729				
660	91.493				
665	91.458				
670	91.34				
675	90.774				
680	89.851				
685	89.265				
690	88.917				
695	88.454				
700	88.691				
705	88.875				
710	89.033				
715	89.169				
720	89.286				
725	89.386				
730	89.473				
735	89.547				
740	89.61				
745	89.665				
750	89.712				
755	89.753				
760	89.788				
765	89.817				
770	89.843				
775	89.865				
780	89.884				
785	89.9				
790	89.914				
795	89.926				
800	89.935				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
