Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	7.402	#FF0064	Lee Filters	Magenta	113
410	7.874				
415	8.119				
420	8.428				
425	8.876				
430	9.311				
435	9.527				
440	9.503				
445	9.06				
450	8.072				
455	6.821				
460	5.53				
465	4.37				
470	3.366				
475	2.525				
480	1.856				
485	1.347				
490	0.975				
495	0.69				
500	0.47				
505	0.3				
510	0.185				
515	0.119				
520	0.088				
525	0.077				
530	0.073				
535	0.071				
540	0.058				
545	0.038				
550	0.022				
555	0.013				
560	0.012				
565	0.014				
570	0.025				
575	0.082				
580	0.359				
585	1.251				
590	3.975				
595	10.102				
600	20.499				
605	33.093				
610	45.064				
615	55.052				
620	62.886				
625	69.504				
630	74.527				
635	78.371				
640	80.359				
645	81.791				
650	82.589				
655	83.045				
660	83.671				
665	84.17				
670	84.455				
675	84.461				
680	84.505				
685	84.751				
690	85.326				
695	85.602				
700	86.143				
705	86.15				
710	86.165				
715	86.191				
720	86.238				
725	86.322				
730	86.466				
735	86.702				
740	87.062				
745	87.552				
750	88.125				
755	88.688				
760	89.154				
765	89.488				
770	89.703				
775	89.832				
780	89.906				
785	89.948				
790	89.972				
795	89.984				
800	89.99				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
