Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	37.098	#00EBC8	Lee Filters	Peacock Blue	115
410	42.078				
415	45.794				
420	47.663				
425	50.088				
430	52.98				
435	54.155				
440	55.836				
445	59.247				
450	60.7				
455	60.436				
460	62.111				
465	64.796				
470	66.379				
475	68.007				
480	70.524				
485	73.034				
490	75.244				
495	77.27				
500	78.156				
505	77.162				
510	75.587				
515	74.983				
520	74.284				
525	70.789				
530	65.413				
535	60.873				
540	57.075				
545	52.227				
550	45.525				
555	37.817				
560	30.556				
565	24.123				
570	18.479				
575	13.922				
580	10.259				
585	7.654				
590	5.56				
595	3.91				
600	2.622				
605	1.779				
610	1.289				
615	1.053				
620	0.939				
625	0.917				
630	0.95				
635	1.04				
640	1.154				
645	1.246				
650	1.256				
655	1.142				
660	0.918				
665	0.684				
670	0.54				
675	0.51				
680	0.569				
685	0.825				
690	1.473				
695	2.759				
700	4.884				
705	16.851				
710	27.135				
715	35.974				
720	43.57				
725	50.097				
730	55.708				
735	60.529				
740	64.672				
745	68.233				
750	71.294				
755	73.924				
760	76.184				
765	78.126				
770	79.796				
775	81.23				
780	82.463				
785	83.523				
790	84.434				
795	85.216				
800	85.762				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
