Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	6.522	#00C8B9	Lee Filters	Medium Blue-Green	116
410	9.711				
415	12.232				
420	14.633				
425	16.988				
430	18.454				
435	21.184				
440	24.064				
445	25.947				
450	28.203				
455	29.982				
460	31.296				
465	33.924				
470	37.194				
475	40.201				
480	43.962				
485	48.53				
490	52.673				
495	54.917				
500	56.048				
505	55.758				
510	53.552				
515	50.039				
520	45.497				
525	39.812				
530	33.626				
535	27.58				
540	21.312				
545	15.355				
550	10.218				
555	6.157				
560	3.268				
565	1.559				
570	0.674				
575	0.282				
580	0.109				
585	0.044				
590	0.018				
595	0.01				
600	0.01				
605	0.01				
610	0.01				
615	0.01				
620	0.01				
625	0.01				
630	0.01				
635	0.01				
640	0.01				
645	0.01				
650	0.01				
655	0.01				
660	0.01				
665	0.01				
670	0.01				
675	0.01				
680	0.01				
685	0.01				
690	0.01				
695	0.01				
700	0.235				
705	0.419				
710	0.755				
715	1.366				
720	2.463				
725	4.405				
730	7.75				
735	13.249				
740	21.628				
745	33.03				
750	46.369				
755	59.472				
760	70.311				
765	78.074				
770	83.077				
775	86.087				
780	87.822				
785	88.799				
790	89.341				
795	89.639				
800	89.777				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
