Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	78.778	#B4FAF5	Lee Filters	Steel Blue	117
410	79.131				
415	78.92				
420	81.618				
425	85.366				
430	87.485				
435	86.47				
440	85.212				
445	86.576				
450	89.069				
455	90.013				
460	88.665				
465	87.144				
470	86.683				
475	87.232				
480	87.543				
485	87.075				
490	86.179				
495	84.683				
500	83.885				
505	83.261				
510	82.1				
515	80.359				
520	78.359				
525	76.326				
530	74.442				
535	72.935				
540	71.216				
545	68.987				
550	66.121				
555	62.432				
560	58.118				
565	54.484				
570	51.048				
575	48.269				
580	46.314				
585	44.674				
590	42.979				
595	40.485				
600	37.096				
605	33.798				
610	31.465				
615	29.852				
620	28.637				
625	28.376				
630	29.022				
635	30.674				
640	32.656				
645	34.361				
650	34.746				
655	33.034				
660	29.164				
665	24.893				
670	22.953				
675	22.715				
680	24.858				
685	30.64				
690	38.915				
695	47.459				
700	54.946				
705	59.874				
710	64.11				
715	67.75				
720	70.878				
725	73.567				
730	75.877				
735	77.863				
740	79.569				
745	81.036				
750	82.296				
755	83.379				
760	84.31				
765	85.11				
770	85.798				
775	86.388				
780	86.896				
785	87.333				
790	87.708				
795	88.03				
800	88.255				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
