Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	48.376	#00E1EB	Lee Filters	Light Blue	118
410	52.918				
415	57.832				
420	62.947				
425	65.612				
430	67.724				
435	71.484				
440	75.595				
445	77.833				
450	77.356				
455	76.388				
460	76.806				
465	77.908				
470	77.916				
475	76.263				
480	74.337				
485	72.417				
490	71.134				
495	68.965				
500	66.202				
505	62.797				
510	59.151				
515	55.38				
520	51.198				
525	46.573				
530	41.468				
535	36.727				
540	32.385				
545	28.527				
550	24.555				
555	20.292				
560	15.748				
565	11.661				
570	8.3				
575	5.987				
580	4.477				
585	3.544				
590	2.885				
595	2.302				
600	1.748				
605	1.303				
610	1.007				
615	0.829				
620	0.737				
625	0.727				
630	0.801				
635	0.989				
640	1.291				
645	1.656				
650	1.951				
655	2.012				
660	1.78				
665	1.462				
670	1.328				
675	1.383				
680	1.74				
685	2.701				
690	4.638				
695	7.715				
700	11.892				
705	22.874				
710	32.311				
715	40.422				
720	47.392				
725	53.383				
730	58.531				
735	62.955				
740	66.758				
745	70.026				
750	72.834				
755	75.247				
760	77.321				
765	79.104				
770	80.636				
775	81.952				
780	83.084				
785	84.056				
790	84.892				
795	85.61				
800	86.111				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
