Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	14.579	#0078C8	Lee Filters	Dark Blue	119
410	18.547				
415	21.903				
420	25.52				
425	30.325				
430	35.673				
435	40.423				
440	44.057				
445	45.912				
450	46.856				
455	46.957				
460	45.722				
465	43.279				
470	41.07				
475	38.912				
480	35.655				
485	31.064				
490	26.47				
495	22.169				
500	18.327				
505	15.027				
510	12.102				
515	9.261				
520	6.565				
525	4.309				
530	2.686				
535	1.724				
540	1.176				
545	0.858				
550	0.624				
555	0.41				
560	0.228				
565	0.11				
570	0.049				
575	0.026				
580	0.018				
585	0.013				
590	0.014				
595	0.017				
600	0.016				
605	0.013				
610	0.01				
615	0.01				
620	0.01				
625	0.01				
630	0.01				
635	0.01				
640	0.018				
645	0.055				
650	0.16				
655	0.352				
660	0.562				
665	0.668				
670	0.717				
675	0.819				
680	1.068				
685	1.744				
690	3.378				
695	6.52				
700	11.334				
705	22.394				
710	31.899				
715	40.068				
720	47.088				
725	53.121				
730	58.306				
735	62.762				
740	66.592				
745	69.883				
750	72.711				
755	75.142				
760	77.231				
765	79.026				
770	80.569				
775	81.895				
780	83.035				
785	84.014				
790	84.855				
795	85.579				
800	86.083				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
