Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	3.02	#B4FF64	Lee Filters	LEE Green	121
410	2.395				
415	1.927				
420	1.595				
425	1.384				
430	1.3				
435	1.367				
440	1.615				
445	2.082				
450	2.789				
455	3.857				
460	5.711				
465	9.109				
470	15.356				
475	25.546				
480	39.603				
485	55.641				
490	68.457				
495	74.534				
500	77.642				
505	81.029				
510	84.064				
515	85.079				
520	83.733				
525	81.769				
530	80.481				
535	80.413				
540	79.744				
545	77.862				
550	75.037				
555	71.586				
560	67.983				
565	64.474				
570	60.682				
575	56.874				
580	53.419				
585	50.152				
590	46.683				
595	42.073				
600	36.849				
605	32.268				
610	29.069				
615	27.208				
620	25.969				
625	25.36				
630	25.21				
635	25.416				
640	25.508				
645	25.055				
650	23.509				
655	20.557				
660	16.461				
665	12.532				
670	10.288				
675	9.54				
680	10.446				
685	13.538				
690	19.232				
695	26.854				
700	35.35				
705	43.034				
710	49.637				
715	55.312				
720	60.189				
725	64.38				
730	67.982				
735	71.078				
740	73.738				
745	76.024				
750	77.989				
755	79.678				
760	81.129				
765	82.376				
770	83.448				
775	84.369				
780	85.161				
785	85.841				
790	86.426				
795	86.929				
800	87.279				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
