Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	24.147	#BE009B	Lee Filters	Mauve	126
410	25.543				
415	27.215				
420	28.578				
425	29.568				
430	31.385				
435	33.345				
440	34.127				
445	33.585				
450	31.76				
455	28.739				
460	24.93				
465	21.071				
470	17.014				
475	13.094				
480	9.77				
485	7.036				
490	4.909				
495	3.178				
500	1.863				
505	0.965				
510	0.453				
515	0.212				
520	0.113				
525	0.071				
530	0.056				
535	0.041				
540	0.029				
545	0.014				
550	0.01				
555	0.01				
560	0.01				
565	0.01				
570	0.01				
575	0.01				
580	0.046				
585	0.164				
590	0.697				
595	2.295				
600	5.346				
605	8.858				
610	11.517				
615	12.757				
620	12.969				
625	13.245				
630	14.478				
635	17.444				
640	22.83				
645	30.761				
650	40.976				
655	52.016				
660	62.221				
665	69.869				
670	75.415				
675	78.377				
680	80.388				
685	82.362				
690	84.141				
695	85.522				
700	86.772				
705	87.226				
710	87.616				
715	87.951				
720	88.239				
725	88.487				
730	88.699				
735	88.882				
740	89.039				
745	89.175				
750	89.291				
755	89.39				
760	89.476				
765	89.55				
770	89.613				
775	89.667				
780	89.714				
785	89.754				
790	89.789				
795	89.819				
800	89.839				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
