Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	15.153	#E16273	Lee Filters	Smokey Pink	127
410	14.869				
415	14.756				
420	14.359				
425	13.488				
430	12.78				
435	12.192				
440	11.486				
445	10.657				
450	9.915				
455	9.36				
460	8.828				
465	8.276				
470	7.812				
475	7.541				
480	7.485				
485	7.446				
490	7.32				
495	7.099				
500	6.941				
505	6.988				
510	7.197				
515	7.395				
520	7.487				
525	7.516				
530	7.597				
535	7.626				
540	7.429				
545	6.933				
550	6.113				
555	5.256				
560	4.617				
565	4.465				
570	4.909				
575	6.04				
580	7.88				
585	10.059				
590	12.394				
595	14.67				
600	16.533				
605	17.974				
610	18.967				
615	19.555				
620	19.922				
625	20.538				
630	21.983				
635	24.535				
640	28.429				
645	33.502				
650	39.146				
655	44.923				
660	50.441				
665	55.279				
670	59.649				
675	63.601				
680	66.96				
685	69.924				
690	73.105				
695	75.881				
700	79.303				
705	80.807				
710	82.099				
715	83.21				
720	84.165				
725	84.985				
730	85.69				
735	86.296				
740	86.817				
745	87.264				
750	87.649				
755	87.98				
760	88.264				
765	88.508				
770	88.718				
775	88.898				
780	89.053				
785	89.186				
790	89.3				
795	89.399				
800	89.467				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
