Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	38.351	#FF50B4	Lee Filters	Bright Pink	128
410	38.227				
415	38.828				
420	39.484				
425	39.277				
430	39.118				
435	39.508				
440	39.863				
445	39.756				
450	38.241				
455	35.733				
460	32.813				
465	29.879				
470	26.641				
475	22.811				
480	19.02				
485	15.413				
490	12.27				
495	9.374				
500	6.765				
505	4.521				
510	2.855				
515	1.826				
520	1.297				
525	1.052				
530	0.947				
535	0.877				
540	0.733				
545	0.521				
550	0.323				
555	0.204				
560	0.162				
565	0.182				
570	0.292				
575	0.621				
580	1.637				
585	4.106				
590	9.702				
595	19.613				
600	33.155				
605	46.931				
610	58.823				
615	67.981				
620	74.238				
625	78.643				
630	81.78				
635	83.851				
640	85.045				
645	85.688				
650	86.133				
655	86.399				
660	86.685				
665	87.045				
670	87.536				
675	88.041				
680	88.251				
685	88.619				
690	88.846				
695	88.736				
700	88.689				
705	88.692				
710	88.697				
715	88.706				
720	88.722				
725	88.75				
730	88.799				
735	88.879				
740	89.002				
745	89.168				
750	89.363				
755	89.554				
760	89.713				
765	89.826				
770	89.899				
775	89.943				
780	89.968				
785	89.982				
790	89.99				
795	89.995				
800	89.997				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
