Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	42.296	#64FAD2	Lee Filters	Marine Blue	131
410	43.156				
415	43.128				
420	42.843				
425	42.746				
430	43.581				
435	45.394				
440	47.418				
445	49.843				
450	52.288				
455	55.523				
460	59.522				
465	64.529				
470	69.627				
475	74.256				
480	77.546				
485	79.049				
490	79.602				
495	78.863				
500	77.993				
505	77.109				
510	75.86				
515	73.871				
520	71.044				
525	67.646				
530	63.827				
535	60.208				
540	57.056				
545	53.652				
550	49.948				
555	45.489				
560	40.079				
565	34.498				
570	29.276				
575	25.119				
580	21.818				
585	19.485				
590	17.537				
595	15.543				
600	13.302				
605	11.348				
610	9.897				
615	8.92				
620	8.36				
625	8.212				
630	8.562				
635	9.412				
640	10.589				
645	11.79				
650	12.624				
655	12.612				
660	11.614				
665	10.367				
670	9.9				
675	10.122				
680	11.572				
685	14.75				
690	19.659				
695	25.384				
700	31.648				
705	39.852				
710	46.903				
715	52.962				
720	58.169				
725	62.644				
730	66.491				
735	69.796				
740	72.636				
745	75.078				
750	77.176				
755	78.979				
760	80.528				
765	81.86				
770	83.004				
775	83.988				
780	84.833				
785	85.56				
790	86.184				
795	86.72				
800	87.095				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
