Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	69.767	#C8B4E6	Lee Filters	Special Lavender	137
410	69.845				
415	73.714				
420	77.561				
425	77.234				
430	77.404				
435	80.705				
440	83.031				
445	82.635				
450	80.57				
455	80.25				
460	79.793				
465	78.626				
470	76.272				
475	74.211				
480	72.074				
485	68.659				
490	65.132				
495	61.608				
500	58.543				
505	54.782				
510	49.992				
515	45.082				
520	40.903				
525	37.655				
530	34.819				
535	31.832				
540	28.344				
545	24.65				
550	21.174				
555	18.298				
560	16.397				
565	15.652				
570	15.826				
575	16.775				
580	18.343				
585	20.424				
590	23.279				
595	25.777				
600	27.651				
605	28.316				
610	27.474				
615	25.727				
620	23.971				
625	23.22				
630	24.33				
635	27.75				
640	33.93				
645	42.154				
650	52.015				
655	61.684				
660	70.269				
665	76.429				
670	80.681				
675	82.948				
680	84.427				
685	85.874				
690	87.486				
695	88.529				
700	89.779				
705	89.81				
710	89.837				
715	89.86				
720	89.879				
725	89.896				
730	89.911				
735	89.923				
740	89.934				
745	89.943				
750	89.951				
755	89.958				
760	89.964				
765	89.969				
770	89.974				
775	89.977				
780	89.98				
785	89.983				
790	89.986				
795	89.988				
800	89.989				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
