Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	24.204	#DCFFA0	Lee Filters	Pale Green	138
410	22.309				
415	20.744				
420	19.182				
425	17.873				
430	17.484				
435	18.217				
440	19.776				
445	21.758				
450	24.107				
455	27.489				
460	32.652				
465	40.016				
470	49.106				
475	58.88				
480	68.576				
485	77.89				
490	84.493				
495	86.603				
500	85.879				
505	85.051				
510	86.062				
515	87.921				
520	89.179				
525	88.585				
530	86.249				
535	84.227				
540	83.546				
545	83.896				
550	84.481				
555	84.105				
560	82.006				
565	78.78				
570	75.292				
575	72.949				
580	71.604				
585	70.484				
590	69.457				
595	66.805				
600	62.97				
605	59.548				
610	56.724				
615	54.826				
620	53.832				
625	53.705				
630	54.46				
635	55.569				
640	56.726				
645	57.137				
650	56.1				
655	52.87				
660	47.983				
665	43.097				
670	40.653				
675	40.563				
680	43.533				
685	49.927				
690	57.919				
695	65.27				
700	71.528				
705	74.125				
710	76.357				
715	78.275				
720	79.924				
725	81.34				
730	82.558				
735	83.604				
740	84.503				
745	85.276				
750	85.94				
755	86.511				
760	87.002				
765	87.423				
770	87.785				
775	88.097				
780	88.364				
785	88.594				
790	88.792				
795	88.962				
800	89.08				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
