Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.017	#4BC300	Lee Filters	Primary Green	139
410	0.014				
415	0.013				
420	0.011				
425	0.01				
430	0.01				
435	0.01				
440	0.01				
445	0.012				
450	0.015				
455	0.019				
460	0.033				
465	0.068				
470	0.151				
475	0.375				
480	0.923				
485	2.14				
490	4.439				
495	8.097				
500	13.157				
505	18.975				
510	24.559				
515	29.735				
520	32.946				
525	34.249				
530	34.425				
535	32.495				
540	29.024				
545	24.905				
550	19.975				
555	14.692				
560	10.016				
565	6.399				
570	3.798				
575	2.204				
580	1.255				
585	0.727				
590	0.405				
595	0.206				
600	0.098				
605	0.046				
610	0.024				
615	0.018				
620	0.014				
625	0.014				
630	0.013				
635	0.016				
640	0.021				
645	0.024				
650	0.023				
655	0.019				
660	0.012				
665	0.01				
670	0.01				
675	0.01				
680	0.01				
685	0.012				
690	0.032				
695	0.107				
700	0.546				
705	0.73				
710	1.065				
715	1.673				
720	2.766				
725	4.701				
730	8.035				
735	13.515				
740	21.865				
745	33.228				
750	46.52				
755	59.578				
760	70.38				
765	78.115				
770	83.101				
775	86.101				
780	87.83				
785	88.803				
790	89.343				
795	89.64				
800	89.778				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
