Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	61.426	#87F0EB	Lee Filters	Summer Blue	140
410	64.593				
415	66.896				
420	69.525				
425	71.823				
430	73.913				
435	75.787				
440	77.254				
445	78.503				
450	79.095				
455	79.319				
460	79.259				
465	79.741				
470	79.774				
475	79.421				
480	78.623				
485	77.06				
490	75.438				
495	73.9				
500	72.44				
505	71.172				
510	69.681				
515	67.489				
520	64.156				
525	60.263				
530	56.113				
535	52.536				
540	49.811				
545	47.316				
550	44.694				
555	41.497				
560	37.143				
565	32.322				
570	27.699				
575	23.97				
580	21.322				
585	19.745				
590	18.731				
595	17.564				
600	16.019				
605	14.415				
610	12.968				
615	11.867				
620	11.135				
625	10.901				
630	11.407				
635	12.66				
640	14.585				
645	16.641				
650	18.381				
655	19.018				
660	18.369				
665	17.153				
670	16.757				
675	17.264				
680	19.385				
685	23.765				
690	30.036				
695	36.93				
700	43.945				
705	50.42				
710	55.985				
715	60.767				
720	64.877				
725	68.409				
730	71.445				
735	74.054				
740	76.296				
745	78.222				
750	79.878				
755	81.301				
760	82.524				
765	83.575				
770	84.479				
775	85.255				
780	85.922				
785	86.495				
790	86.988				
795	87.412				
800	87.707				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
