Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	62.537	#AAAAF0	Lee Filters	Pale Violet	142
410	66.679				
415	67.266				
420	69.478				
425	74.185				
430	76.791				
435	77.083				
440	79.05				
445	80.862				
450	79.591				
455	77.428				
460	75.915				
465	73.968				
470	71.254				
475	68.435				
480	66.088				
485	62.144				
490	57.591				
495	53.022				
500	49.198				
505	45.156				
510	40.345				
515	35.326				
520	31.064				
525	27.463				
530	24.183				
535	21.037				
540	18.115				
545	15.662				
550	13.612				
555	11.881				
560	10.439				
565	9.378				
570	8.656				
575	8.397				
580	8.764				
585	9.817				
590	11.686				
595	13.777				
600	15.294				
605	15.558				
610	14.435				
615	12.655				
620	11.191				
625	10.563				
630	11.363				
635	14.134				
640	19.578				
645	27.949				
650	39.117				
655	51.086				
660	62.467				
665	71.691				
670	78.891				
675	83.997				
680	87.755				
685	90.144				
690	91.386				
695	91.279				
700	91.386				
705	91.191				
710	91.024				
715	90.88				
720	90.756				
725	90.65				
730	90.558				
735	90.48				
740	90.412				
745	90.354				
750	90.305				
755	90.262				
760	90.225				
765	90.193				
770	90.166				
775	90.143				
780	90.123				
785	90.105				
790	90.091				
795	90.078				
800	90.069				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
