Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	55.149	#5AE1E6	Lee Filters	No Colour Blue	144
410	58.27				
415	61.283				
420	66.426				
425	70.312				
430	71.208				
435	72.656				
440	76.321				
445	79.868				
450	79.7				
455	77.527				
460	77.185				
465	79.431				
470	80.782				
475	79.269				
480	76.382				
485	73.969				
490	73.612				
495	73.331				
500	71.233				
505	67.788				
510	64.044				
515	61.181				
520	58.857				
525	55.863				
530	51.798				
535	47.273				
540	42.963				
545	39.475				
550	36.54				
555	33.357				
560	29.248				
565	24.773				
570	20.418				
575	17.031				
580	14.721				
585	13.396				
590	12.603				
595	11.774				
600	10.504				
605	9.117				
610	7.806				
615	6.705				
620	5.914				
625	5.595				
630	5.707				
635	6.408				
640	7.633				
645	9.125				
650	10.494				
655	11.004				
660	10.463				
665	9.402				
670	9.028				
675	9.232				
680	10.507				
685	13.526				
690	18.167				
695	23.509				
700	29.044				
705	37.614				
710	44.979				
715	51.309				
720	56.749				
725	61.424				
730	65.441				
735	68.894				
740	71.862				
745	74.412				
750	76.603				
755	78.487				
760	80.106				
765	81.497				
770	82.692				
775	83.72				
780	84.603				
785	85.361				
790	86.014				
795	86.574				
800	86.965				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
