Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	23.751	#FF507D	Lee Filters	Bright Rose	148
410	24.726				
415	25.229				
420	25.378				
425	25.038				
430	24.08				
435	22.627				
440	20.726				
445	18.485				
450	16.004				
455	13.591				
460	11.362				
465	9.454				
470	7.718				
475	6.256				
480	5.07				
485	4.147				
490	3.461				
495	2.93				
500	2.516				
505	2.151				
510	1.825				
515	1.555				
520	1.392				
525	1.36				
530	1.477				
535	1.676				
540	1.875				
545	1.934				
550	1.794				
555	1.544				
560	1.383				
565	1.484				
570	2.123				
575	3.967				
580	8.39				
585	15.912				
590	26.372				
595	37.342				
600	46.526				
605	53.518				
610	58.861				
615	63.385				
620	67.61				
625	71.41				
630	74.75				
635	77.415				
640	79.354				
645	80.452				
650	81.244				
655	81.252				
660	81.404				
665	81.772				
670	82.596				
675	83.243				
680	84.234				
685	85.428				
690	86.427				
695	86.742				
700	87.553				
705	87.558				
710	87.567				
715	87.584				
720	87.614				
725	87.667				
730	87.758				
735	87.908				
740	88.136				
745	88.447				
750	88.811				
755	89.168				
760	89.463				
765	89.675				
770	89.811				
775	89.893				
780	89.941				
785	89.967				
790	89.982				
795	89.99				
800	89.994				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
