Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	57.191	#FFCDC3	Lee Filters	Gold Tint	151
410	56.027				
415	55.06				
420	55.495				
425	56.072				
430	55.551				
435	53.971				
440	52.654				
445	51.885				
450	51.327				
455	50.721				
460	49.736				
465	49.262				
470	48.922				
475	48.809				
480	48.686				
485	48.392				
490	48.482				
495	48.543				
500	48.562				
505	48.613				
510	48.375				
515	47.993				
520	47.824				
525	48.606				
530	50.128				
535	52.08				
540	53.943				
545	55.149				
550	55.941				
555	56.141				
560	57.165				
565	59.663				
570	64.336				
575	70.824				
580	78.014				
585	82.915				
590	86.221				
595	87.412				
600	87.118				
605	86.669				
610	86.758				
615	87.143				
620	88.447				
625	89.783				
630	90.921				
635	91.806				
640	91.899				
645	91.15				
650	90.101				
655	88.784				
660	88.011				
665	87.459				
670	87.697				
675	88.353				
680	89.404				
685	91.064				
690	92.56				
695	93.165				
700	93.711				
705	93.703				
710	93.689				
715	93.664				
720	93.619				
725	93.538				
730	93.4				
735	93.173				
740	92.826				
745	92.355				
750	91.804				
755	91.262				
760	90.814				
765	90.493				
770	90.286				
775	90.162				
780	90.09				
785	90.05				
790	90.027				
795	90.015				
800	90.009				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
