Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	30.289	#E1B48C	Lee Filters	Chocolate	156
410	29.237				
415	26.962				
420	23.886				
425	21.437				
430	19.248				
435	16.802				
440	14.434				
445	12.645				
450	11.32				
455	10.029				
460	8.912				
465	8.091				
470	7.758				
475	7.847				
480	8.26				
485	8.761				
490	9.208				
495	9.696				
500	10.492				
505	11.967				
510	14.295				
515	17.157				
520	20.146				
525	23.169				
530	26.018				
535	27.72				
540	27.679				
545	25.581				
550	22.26				
555	18.886				
560	16.422				
565	15.631				
570	16.742				
575	19.642				
580	23.848				
585	28.087				
590	31.655				
595	33.832				
600	34.421				
605	33.937				
610	32.805				
615	31.36				
620	29.969				
625	29.238				
630	29.745				
635	31.588				
640	34.481				
645	37.55				
650	39.784				
655	39.643				
660	36.451				
665	32.163				
670	29.907				
675	29.684				
680	32.174				
685	38.234				
690	46.765				
695	55.802				
700	63.67				
705	67.372				
710	70.553				
715	73.287				
720	75.637				
725	77.656				
730	79.392				
735	80.883				
740	82.165				
745	83.267				
750	84.213				
755	85.027				
760	85.726				
765	86.327				
770	86.843				
775	87.287				
780	87.669				
785	87.996				
790	88.278				
795	88.52				
800	88.689				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
