Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	33.479	#FF92A3	Lee Filters	Pink	157
410	34.875				
415	35.896				
420	35.999				
425	35.87				
430	35.694				
435	35.064				
440	33.598				
445	31.408				
450	28.994				
455	26.323				
460	23.691				
465	21.318				
470	19.093				
475	17.053				
480	15.243				
485	13.729				
490	12.585				
495	11.728				
500	11.124				
505	10.637				
510	10.334				
515	10.115				
520	10.165				
525	10.6				
530	11.439				
535	12.462				
540	13.739				
545	15.125				
550	16.471				
555	17.683				
560	19.153				
565	21.43				
570	26.192				
575	34.435				
580	45.142				
585	55.475				
590	64.179				
595	70.821				
600	75.276				
605	78.081				
610	79.91				
615	81.802				
620	84.305				
625	86.636				
630	88.753				
635	89.681				
640	89.754				
645	88.691				
650	87.151				
655	86.275				
660	85.408				
665	85.637				
670	86.519				
675	88.054				
680	89.524				
685	90.798				
690	91.508				
695	91.785				
700	91.051				
705	90.903				
710	90.776				
715	90.667				
720	90.573				
725	90.493				
730	90.423				
735	90.364				
740	90.313				
745	90.269				
750	90.231				
755	90.199				
760	90.171				
765	90.147				
770	90.126				
775	90.108				
780	90.093				
785	90.08				
790	90.069				
795	90.059				
800	90.052				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
