Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	1.334	#FF3200	Lee Filters	Flame Red	164
410	1.262				
415	1.214				
420	1.218				
425	1.268				
430	1.343				
435	1.404				
440	1.444				
445	1.448				
450	1.425				
455	1.398				
460	1.368				
465	1.358				
470	1.38				
475	1.433				
480	1.508				
485	1.6				
490	1.707				
495	1.812				
500	1.908				
505	1.941				
510	1.931				
515	1.897				
520	1.931				
525	2.051				
530	2.219				
535	2.284				
540	2.087				
545	1.625				
550	1.105				
555	0.704				
560	0.468				
565	0.409				
570	0.576				
575	1.283				
580	3.803				
585	10.256				
590	23.003				
595	39.872				
600	55.358				
605	65.78				
610	71.792				
615	75.711				
620	79.061				
625	81.881				
630	84.038				
635	84.908				
640	85.017				
645	84.274				
650	83.569				
655	83.634				
660	83.946				
665	84.952				
670	86.487				
675	88.152				
680	89.569				
685	90.22				
690	90.274				
695	90.125				
700	89.224				
705	89.333				
710	89.427				
715	89.507				
720	89.577				
725	89.636				
730	89.687				
735	89.731				
740	89.769				
745	89.802				
750	89.829				
755	89.853				
760	89.874				
765	89.892				
770	89.907				
775	89.92				
780	89.931				
785	89.941				
790	89.949				
795	89.956				
800	89.961				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
