Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	48.679	#E6AADC	Lee Filters	Deep Lavender	170
410	50.664				
415	52.966				
420	53.533				
425	53.535				
430	54.099				
435	55.193				
440	54.936				
445	53.737				
450	52.921				
455	52.285				
460	51.542				
465	50.196				
470	48.747				
475	47.232				
480	45.499				
485	43.738				
490	41.767				
495	39.939				
500	38.042				
505	35.616				
510	32.985				
515	30.06				
520	27.27				
525	24.974				
530	23.11				
535	21.554				
540	20.145				
545	18.75				
550	17.44				
555	16.266				
560	15.525				
565	15.277				
570	15.608				
575	16.685				
580	18.446				
585	20.894				
590	23.804				
595	26.692				
600	29.08				
605	30.715				
610	31.38				
615	31.399				
620	31.28				
625	31.718				
630	33.455				
635	36.824				
640	41.942				
645	48.173				
650	55.039				
655	62.125				
660	68.632				
665	74.238				
670	78.525				
675	81.549				
680	83.434				
685	84.027				
690	84.326				
695	84.871				
700	85.324				
705	85.981				
710	86.546				
715	87.032				
720	87.449				
725	87.808				
730	88.116				
735	88.381				
740	88.609				
745	88.804				
750	88.972				
755	89.117				
760	89.241				
765	89.348				
770	89.439				
775	89.518				
780	89.586				
785	89.644				
790	89.694				
795	89.737				
800	89.767				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
