Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	63.48	#AFE1FA	Lee Filters	Dark Steel Blue	174
410	67.802				
415	70.752				
420	71.821				
425	73.857				
430	77.021				
435	79.455				
440	80.72				
445	81.291				
450	81.034				
455	79.881				
460	80.338				
465	80.864				
470	79.867				
475	76.613				
480	73.803				
485	72.748				
490	72.236				
495	69.896				
500	65.662				
505	61.229				
510	58.423				
515	56.177				
520	53.202				
525	48.698				
530	43.293				
535	38.755				
540	35.764				
545	34.016				
550	32.504				
555	30.343				
560	26.969				
565	22.968				
570	19.359				
575	16.855				
580	15.673				
585	15.818				
590	16.942				
595	18.294				
600	18.864				
605	18.442				
610	17.193				
615	15.447				
620	14.022				
625	13.453				
630	14.322				
635	17.014				
640	21.981				
645	28.969				
650	37.077				
655	44.68				
660	49.797				
665	51.872				
670	53.876				
675	56.441				
680	60.593				
685	66.584				
690	72.802				
695	77.675				
700	80.808				
705	82.1				
710	83.211				
715	84.166				
720	84.986				
725	85.691				
730	86.297				
735	86.817				
740	87.265				
745	87.649				
750	87.98				
755	88.264				
760	88.508				
765	88.718				
770	88.898				
775	89.053				
780	89.186				
785	89.301				
790	89.399				
795	89.483				
800	89.542				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
