Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	9.697	#5000AA	Lee Filters	Congo Blue	181
410	11.548				
415	13.35				
420	15.138				
425	16.976				
430	19.38				
435	21.633				
440	23.002				
445	23.907				
450	23.319				
455	21.504				
460	19.516				
465	16.915				
470	13.921				
475	11.054				
480	8.455				
485	6.162				
490	4.287				
495	2.757				
500	1.618				
505	0.841				
510	0.399				
515	0.186				
520	0.094				
525	0.053				
530	0.031				
535	0.017				
540	0.01				
545	0.01				
550	0.01				
555	0.01				
560	0.01				
565	0.01				
570	0.01				
575	0.01				
580	0.01				
585	0.01				
590	0.019				
595	0.05				
600	0.102				
605	0.148				
610	0.155				
615	0.132				
620	0.101				
625	0.079				
630	0.076				
635	0.098				
640	0.182				
645	0.411				
650	0.978				
655	2.036				
660	3.358				
665	4.254				
670	4.554				
675	4.893				
680	5.707				
685	7.621				
690	11.868				
695	18.829				
700	27.543				
705	36.324				
710	43.871				
715	50.356				
720	55.93				
725	60.72				
730	64.837				
735	68.375				
740	71.415				
745	74.028				
750	76.274				
755	78.203				
760	79.862				
765	81.287				
770	82.512				
775	83.565				
780	84.47				
785	85.247				
790	85.915				
795	86.49				
800	86.89				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
