Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.417	#F50000	Lee Filters	Light Red	182
410	0.437				
415	0.446				
420	0.448				
425	0.446				
430	0.438				
435	0.413				
440	0.379				
445	0.331				
450	0.274				
455	0.221				
460	0.174				
465	0.137				
470	0.105				
475	0.083				
480	0.065				
485	0.051				
490	0.041				
495	0.034				
500	0.027				
505	0.024				
510	0.022				
515	0.024				
520	0.026				
525	0.028				
530	0.033				
535	0.04				
540	0.053				
545	0.077				
550	0.12				
555	0.198				
560	0.312				
565	0.473				
570	0.739				
575	1.27				
580	2.382				
585	4.337				
590	7.751				
595	13.235				
600	21.321				
605	31.319				
610	41.52				
615	49.666				
620	55.883				
625	60.924				
630	65.469				
635	68.275				
640	69.955				
645	70.854				
650	71.557				
655	72.381				
660	73.196				
665	73.827				
670	74.176				
675	74.842				
680	75.637				
685	76.332				
690	76.766				
695	76.759				
700	76.384				
705	76.412				
710	76.463				
715	76.555				
720	76.722				
725	77.016				
730	77.524				
735	78.358				
740	79.629				
745	81.358				
750	83.382				
755	85.369				
760	87.014				
765	88.191				
770	88.95				
775	89.406				
780	89.67				
785	89.818				
790	89.9				
795	89.945				
800	89.966				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
