Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	35.517	#00D7E3	Lee Filters	Moonlight Blue	183
410	41.359				
415	46.376				
420	51.049				
425	53.907				
430	56.441				
435	61.783				
440	67.156				
445	68.308				
450	67.455				
455	67.548				
460	69.999				
465	72.372				
470	71.586				
475	68.551				
480	66.689				
485	66.237				
490	65.877				
495	63.782				
500	60.225				
505	56.113				
510	52.891				
515	49.403				
520	45.295				
525	40.423				
530	35.002				
535	29.941				
540	25.5				
545	21.385				
550	17.242				
555	13.145				
560	9.314				
565	6.238				
570	3.951				
575	2.512				
580	1.631				
585	1.139				
590	0.807				
595	0.557				
600	0.367				
605	0.242				
610	0.172				
615	0.132				
620	0.116				
625	0.114				
630	0.129				
635	0.162				
640	0.219				
645	0.285				
650	0.343				
655	0.355				
660	0.314				
665	0.262				
670	0.239				
675	0.252				
680	0.319				
685	0.499				
690	0.919				
695	1.706				
700	3.025				
705	15.253				
710	25.762				
715	34.794				
720	42.556				
725	49.226				
730	54.959				
735	59.885				
740	64.119				
745	67.758				
750	70.885				
755	73.573				
760	75.882				
765	77.867				
770	79.573				
775	81.039				
780	82.299				
785	83.382				
790	84.312				
795	85.112				
800	85.67				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
