Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	53.97	#F0E1D7	Lee Filters	Cosmetic Peach	184
410	53.985				
415	54.125				
420	54.207				
425	54.221				
430	54.284				
435	54.21				
440	54.103				
445	53.939				
450	53.641				
455	53.618				
460	53.59				
465	53.611				
470	53.586				
475	53.991				
480	54.292				
485	54.59				
490	54.818				
495	55.204				
500	55.81				
505	56.37				
510	56.889				
515	57.112				
520	57.688				
525	57.907				
530	58.203				
535	58.359				
540	58.751				
545	59.127				
550	59.774				
555	60.586				
560	61.222				
565	61.461				
570	61.494				
575	61.609				
580	61.784				
585	62.273				
590	62.864				
595	63.72				
600	64.432				
605	64.745				
610	64.511				
615	64.436				
620	64.081				
625	64.081				
630	64.374				
635	64.888				
640	66.188				
645	67.261				
650	68.578				
655	69.794				
660	70.716				
665	71.491				
670	72.393				
675	73.014				
680	73.659				
685	74.16				
690	74.386				
695	74.427				
700	74.479				
705	74.511				
710	74.57				
715	74.675				
720	74.865				
725	75.2				
730	75.779				
735	76.73				
740	78.178				
745	80.15				
750	82.456				
755	84.722				
760	86.596				
765	87.938				
770	88.803				
775	89.323				
780	89.623				
785	89.792				
790	89.886				
795	89.938				
800	89.962				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
