Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	59.938	#FFEBD7	Lee Filters	Cosmetic Highlight	188
410	60.15				
415	60.17				
420	60.135				
425	60.111				
430	60.311				
435	60.293				
440	60.302				
445	60.169				
450	59.86				
455	59.748				
460	59.492				
465	59.545				
470	59.28				
475	58.904				
480	58.859				
485	59.089				
490	59.237				
495	59.322				
500	59.246				
505	59.639				
510	60.435				
515	61.173				
520	61.916				
525	62.412				
530	62.946				
535	63.407				
540	64.216				
545	65.37				
550	66.584				
555	68.075				
560	69.499				
565	70.563				
570	71.328				
575	71.861				
580	72.259				
585	72.529				
590	72.818				
595	73.247				
600	73.443				
605	73.419				
610	73.405				
615	73.583				
620	73.407				
625	73.634				
630	74.118				
635	74.481				
640	74.827				
645	74.941				
650	75.1				
655	75.026				
660	74.85				
665	74.755				
670	75.131				
675	75.227				
680	75.644				
685	75.991				
690	76.114				
695	76.317				
700	76.42				
705	76.448				
710	76.498				
715	76.591				
720	76.757				
725	77.051				
730	77.557				
735	78.389				
740	79.656				
745	81.381				
750	83.399				
755	85.382				
760	87.021				
765	88.196				
770	88.953				
775	89.408				
780	89.671				
785	89.818				
790	89.9				
795	89.945				
800	89.966				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
