Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	62.207	#E9EEEE	Lee Filters	Cosmetic Aqua Blue	191
410	63.221				
415	63.601				
420	64.171				
425	64.502				
430	64.871				
435	65.162				
440	65.549				
445	65.837				
450	66.029				
455	66.077				
460	66.44				
465	66.698				
470	66.932				
475	67.106				
480	67.201				
485	67.425				
490	67.551				
495	67.688				
500	67.504				
505	67.882				
510	68.027				
515	67.915				
520	67.895				
525	67.865				
530	67.855				
535	67.762				
540	67.616				
545	67.409				
550	67.099				
555	66.941				
560	66.464				
565	65.962				
570	65.453				
575	65.107				
580	64.665				
585	64.274				
590	63.474				
595	62.332				
600	60.617				
605	59.175				
610	58.45				
615	58.793				
620	58.816				
625	58.805				
630	58.81				
635	58.7				
640	58.747				
645	58.524				
650	58.222				
655	57.01				
660	53.814				
665	49.061				
670	45.658				
675	44.495				
680	45.34				
685	49.159				
690	55.052				
695	60.718				
700	64.903				
705	68.432				
710	71.464				
715	74.07				
720	76.31				
725	78.234				
730	79.889				
735	81.31				
740	82.532				
745	83.582				
750	84.484				
755	85.26				
760	85.926				
765	86.499				
770	86.991				
775	87.414				
780	87.778				
785	88.09				
790	88.359				
795	88.589				
800	88.75				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
