Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	52.273	#FF8CB4	Lee Filters	Flesh Pink	192
410	54.708				
415	54.657				
420	53.157				
425	53.119				
430	54.04				
435	53.43				
440	50.221				
445	46.808				
450	44.523				
455	42.714				
460	40.155				
465	36.388				
470	32.811				
475	29.866				
480	27.716				
485	25.798				
490	23.888				
495	21.941				
500	20.138				
505	18.47				
510	17.182				
515	16.131				
520	15.536				
525	15.625				
530	16.328				
535	17.11				
540	17.725				
545	17.71				
550	16.852				
555	15.645				
560	15.032				
565	15.983				
570	19.789				
575	27.487				
580	39.02				
585	51.031				
590	61.737				
595	70.453				
600	77.027				
605	81.987				
610	85.262				
615	87.025				
620	87.754				
625	87.635				
630	87.599				
635	87.121				
640	87.188				
645	87.346				
650	87.747				
655	88.652				
660	89.022				
665	89.398				
670	89.457				
675	89.148				
680	88.705				
685	88.233				
690	88.154				
695	88.22				
700	88.491				
705	88.703				
710	88.885				
715	89.042				
720	89.177				
725	89.293				
730	89.392				
735	89.478				
740	89.551				
745	89.614				
750	89.668				
755	89.715				
760	89.755				
765	89.789				
770	89.819				
775	89.845				
780	89.866				
785	89.885				
790	89.901				
795	89.915				
800	89.925				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
