Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	35.888	#82AAE6	Lee Filters	Alice Blue	197
410	39.251				
415	41.462				
420	43.807				
425	46.057				
430	48.207				
435	50.838				
440	52.533				
445	53.339				
450	53.99				
455	53.989				
460	53.001				
465	51.665				
470	50.546				
475	48.65				
480	45.486				
485	41.989				
490	39.267				
495	36.152				
500	31.984				
505	27.343				
510	23.023				
515	19.43				
520	16.568				
525	14.155				
530	12.091				
535	10.156				
540	8.086				
545	6.049				
550	4.183				
555	2.959				
560	2.307				
565	2.19				
570	2.493				
575	3.182				
580	4.219				
585	5.384				
590	6.42				
595	6.87				
600	6.632				
605	6.017				
610	5.385				
615	4.836				
620	4.404				
625	4.195				
630	4.337				
635	4.869				
640	5.752				
645	6.769				
650	7.513				
655	7.4				
660	6.29				
665	4.909				
670	4.271				
675	4.262				
680	5.17				
685	7.674				
690	12.2				
695	18.197				
700	25.047				
705	34.179				
710	42.027				
715	48.772				
720	54.568				
725	59.55				
730	63.831				
735	67.51				
740	70.672				
745	73.39				
750	75.725				
755	77.732				
760	79.457				
765	80.939				
770	82.213				
775	83.308				
780	84.249				
785	85.057				
790	85.752				
795	86.349				
800	86.766				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
