Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	11.37	#6478C8	Lee Filters	Palace Blue	198
410	13.791				
415	15.869				
420	17.763				
425	19.513				
430	21.072				
435	22.265				
440	22.384				
445	21.185				
450	19.58				
455	17.724				
460	15.437				
465	13.292				
470	11.467				
475	9.769				
480	8.185				
485	6.814				
490	5.685				
495	4.755				
500	4.021				
505	3.44				
510	2.944				
515	2.476				
520	2.058				
525	1.698				
530	1.42				
535	1.227				
540	1.105				
545	1.042				
550	0.958				
555	0.818				
560	0.628				
565	0.462				
570	0.352				
575	0.305				
580	0.302				
585	0.333				
590	0.392				
595	0.443				
600	0.429				
605	0.346				
610	0.254				
615	0.184				
620	0.142				
625	0.124				
630	0.137				
635	0.196				
640	0.355				
645	0.663				
650	1.139				
655	1.597				
660	1.718				
665	1.424				
670	1.097				
675	0.981				
680	1.134				
685	1.806				
690	3.649				
695	7.414				
700	13.169				
705	23.971				
710	33.254				
715	41.233				
720	48.089				
725	53.982				
730	59.046				
735	63.398				
740	67.138				
745	70.352				
750	73.114				
755	75.488				
760	77.529				
765	79.282				
770	80.789				
775	82.084				
780	83.197				
785	84.153				
790	84.975				
795	85.682				
800	86.175				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
