Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	75.455	#D7F0FF	Lee Filters	Half C.T. Blue	202
410	79.245				
415	78.612				
420	77.206				
425	79.112				
430	82.805				
435	83.914				
440	81.959				
445	80.904				
450	82.59				
455	85.186				
460	85.868				
465	83.527				
470	81.485				
475	80.957				
480	82.428				
485	83.99				
490	82.838				
495	80.219				
500	76.946				
505	74.722				
510	73.206				
515	72.31				
520	70.047				
525	67.055				
530	63.655				
535	60.525				
540	57.633				
545	54.994				
550	52.245				
555	49.893				
560	48.588				
565	48.611				
570	49.632				
575	51.396				
580	52.997				
585	54.147				
590	54.162				
595	53.153				
600	50.506				
605	47.806				
610	45.846				
615	44.723				
620	43.948				
625	43.818				
630	44.113				
635	45.08				
640	46.049				
645	46.732				
650	46.383				
655	44.487				
660	40.309				
665	35.128				
670	32.051				
675	31.181				
680	32.64				
685	37.854				
690	45.862				
695	54.092				
700	61.004				
705	65.081				
710	68.584				
715	71.595				
720	74.183				
725	76.407				
730	78.318				
735	79.96				
740	81.372				
745	82.585				
750	83.627				
755	84.523				
760	85.293				
765	85.955				
770	86.524				
775	87.013				
780	87.433				
785	87.794				
790	88.104				
795	88.37				
800	88.556				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
