Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	38.537	#FCD9B1	Lee Filters	Half C.T. Orange	205
410	39.937				
415	40.743				
420	41.115				
425	41.32				
430	41.466				
435	41.389				
440	40.815				
445	40.109				
450	39.61				
455	39.911				
460	41.347				
465	43.267				
470	45.368				
475	47.094				
480	48.63				
485	50.602				
490	52.928				
495	56.168				
500	59.31				
505	61.815				
510	62.934				
515	63.158				
520	62.992				
525	63.471				
530	64.843				
535	66.721				
540	68.906				
545	71.024				
550	72.649				
555	73.366				
560	73.836				
565	73.803				
570	74.353				
575	76.016				
580	77.995				
585	80.222				
590	82.718				
595	85.144				
600	86.698				
605	87.981				
610	88.243				
615	87.965				
620	88.121				
625	88.447				
630	88.482				
635	89.317				
640	90.033				
645	90.71				
650	91.088				
655	91.674				
660	91.961				
665	91.764				
670	91.748				
675	91.786				
680	91.994				
685	92.225				
690	92.21				
695	92.65				
700	92.735				
705	92.35				
710	92.02				
715	91.736				
720	91.492				
725	91.282				
730	91.102				
735	90.947				
740	90.814				
745	90.699				
750	90.601				
755	90.517				
760	90.444				
765	90.382				
770	90.328				
775	90.282				
780	90.242				
785	90.208				
790	90.179				
795	90.154				
800	90.136				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
