Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	8.239	#F0B46B	Lee Filters	Full C.T. Orange + .3ND	207
410	8.353				
415	8.462				
420	8.632				
425	8.701				
430	8.742				
435	8.811				
440	8.748				
445	8.659				
450	8.597				
455	8.784				
460	9.348				
465	10.08				
470	10.829				
475	11.655				
480	12.765				
485	14.178				
490	15.692				
495	17.086				
500	18.159				
505	19.212				
510	20.429				
515	21.778				
520	22.985				
525	23.829				
530	24.251				
535	24.504				
540	25.181				
545	26.092				
550	27.522				
555	29.274				
560	30.606				
565	31.465				
570	32.415				
575	34.105				
580	36.389				
585	38.497				
590	40.471				
595	41.794				
600	41.97				
605	41.931				
610	42.069				
615	42.641				
620	43.099				
625	43.545				
630	44.091				
635	44.854				
640	45.869				
645	46.741				
650	47.306				
655	47.027				
660	45.327				
665	42.289				
670	40.515				
675	40.699				
680	43.381				
685	49.172				
690	56.482				
695	63.237				
700	68.532				
705	71.55				
710	74.144				
715	76.373				
720	78.289				
725	79.936				
730	81.351				
735	82.567				
740	83.612				
745	84.51				
750	85.282				
755	85.945				
760	86.515				
765	87.005				
770	87.426				
775	87.788				
780	88.099				
785	88.366				
790	88.596				
795	88.793				
800	88.931				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
