Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	10.587	#828282	Lee Filters	0.9ND	211
410	10.977				
415	11.217				
420	11.556				
425	11.842				
430	12.25				
435	12.667				
440	12.763				
445	12.507				
450	12.262				
455	12.153				
460	11.994				
465	11.573				
470	11.079				
475	10.758				
480	10.618				
485	10.514				
490	10.464				
495	10.479				
500	10.552				
505	10.757				
510	11.08				
515	11.602				
520	12.231				
525	12.776				
530	12.94				
535	12.64				
540	12.367				
545	12.328				
550	12.785				
555	13.607				
560	14.297				
565	14.466				
570	14.106				
575	13.671				
580	13.34				
585	13.278				
590	13.229				
595	12.952				
600	12.164				
605	11.271				
610	10.509				
615	10.003				
620	9.658				
625	9.556				
630	9.815				
635	10.479				
640	11.49				
645	12.546				
650	13.213				
655	13.056				
660	11.767				
665	9.991				
670	9.053				
675	9.008				
680	10.204				
685	13.527				
690	19.425				
695	26.98				
700	34.884				
705	42.633				
710	49.293				
715	55.016				
720	59.934				
725	64.162				
730	67.794				
735	70.916				
740	73.599				
745	75.905				
750	77.887				
755	79.59				
760	81.054				
765	82.311				
770	83.392				
775	84.321				
780	85.12				
785	85.806				
790	86.396				
795	86.902				
800	87.256				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
