Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	43.095	#FFFAD7	Lee Filters	L.C.T.Yellow (Y1)	212
410	49.828				
415	51.161				
420	51.493				
425	52.841				
430	53.985				
435	53.874				
440	53.355				
445	54.202				
450	57.249				
455	61.145				
460	64.774				
465	68.008				
470	70.816				
475	74.462				
480	78.737				
485	82.888				
490	84.825				
495	84.758				
500	83.444				
505	82.627				
510	82.654				
515	84.134				
520	86.103				
525	87.487				
530	87.933				
535	86.866				
540	86.301				
545	85.828				
550	86.135				
555	87.423				
560	88.777				
565	89.891				
570	89.894				
575	89.694				
580	89.038				
585	88.47				
590	88.042				
595	88.198				
600	88.269				
605	89.107				
610	89.399				
615	89.92				
620	90.114				
625	90.07				
630	90.064				
635	89.983				
640	90.118				
645	90.153				
650	90.044				
655	90.491				
660	90.635				
665	90.629				
670	90.701				
675	90.768				
680	90.699				
685	90.629				
690	90.66				
695	90.614				
700	90.276				
705	90.237				
710	90.204				
715	90.175				
720	90.151				
725	90.129				
730	90.111				
735	90.096				
740	90.082				
745	90.071				
750	90.061				
755	90.052				
760	90.045				
765	90.039				
770	90.033				
775	90.028				
780	90.024				
785	90.021				
790	90.018				
795	90.016				
800	90.014				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
