Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	25.377	#9BDCAF	Lee Filters	LEE Fluorescent Green	219
410	23.326				
415	21.535				
420	20.183				
425	19.316				
430	18.871				
435	19.013				
440	20.023				
445	21.768				
450	23.864				
455	26.268				
460	30.015				
465	35.792				
470	43.113				
475	50.691				
480	57.683				
485	63.622				
490	66.997				
495	66.529				
500	63.195				
505	60.094				
510	58.115				
515	56.209				
520	52.454				
525	47.265				
530	41.839				
535	37.461				
540	34.46				
545	32.287				
550	30.341				
555	28.135				
560	25.01				
565	21.471				
570	17.739				
575	14.777				
580	12.756				
585	11.937				
590	12.207				
595	13.191				
600	14.048				
605	14.274				
610	13.558				
615	12.217				
620	10.68				
625	9.498				
630	9.144				
635	9.982				
640	12.51				
645	17.071				
650	23.613				
655	31.254				
660	37.7				
665	41.009				
670	42.394				
675	44.086				
680	46.816				
685	51.846				
690	59.971				
695	68.802				
700	75.695				
705	77.706				
710	79.435				
715	80.92				
720	82.197				
725	83.294				
730	84.237				
735	85.047				
740	85.743				
745	86.342				
750	86.856				
755	87.298				
760	87.678				
765	88.004				
770	88.285				
775	88.526				
780	88.733				
785	88.911				
790	89.064				
795	89.196				
800	89.288				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
