Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	55.968	#F5FFFF	Lee Filters	Blue Frost	221
410	56.667				
415	56.74				
420	56.821				
425	56.864				
430	56.93				
435	56.9				
440	56.941				
445	56.964				
450	56.96				
455	56.892				
460	56.956				
465	57.027				
470	56.938				
475	57.121				
480	57.12				
485	57.004				
490	56.942				
495	57.017				
500	56.955				
505	57.103				
510	57.053				
515	56.91				
520	56.948				
525	56.763				
530	56.778				
535	56.696				
540	56.747				
545	56.784				
550	56.757				
555	56.842				
560	56.786				
565	56.704				
570	56.598				
575	56.732				
580	57.011				
585	57.08				
590	57.287				
595	57.569				
600	57.825				
605	57.896				
610	57.764				
615	57.946				
620	57.956				
625	57.912				
630	58.303				
635	58.851				
640	59.376				
645	59.949				
650	60.87				
655	61.386				
660	61.825				
665	62.282				
670	62.721				
675	62.817				
680	62.93				
685	63.298				
690	63.456				
695	63.368				
700	63.734				
705	63.788				
710	63.887				
715	64.065				
720	64.386				
725	64.954				
730	65.933				
735	67.542				
740	69.994				
745	73.33				
750	77.233				
755	81.067				
760	84.239				
765	86.51				
770	87.974				
775	88.855				
780	89.363				
785	89.649				
790	89.807				
795	89.894				
800	89.935				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
