Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	70.444	#FFF3E8	Lee Filters	Eighth C.T. Orange	223
410	69.63				
415	69.7				
420	71.212				
425	72.762				
430	72.852				
435	71.32				
440	69.594				
445	69.589				
450	71.023				
455	72.331				
460	73.041				
465	72.983				
470	72.216				
475	72.27				
480	73.834				
485	76.25				
490	78.671				
495	80.057				
500	80.037				
505	79.368				
510	78.781				
515	78.859				
520	79.943				
525	82.041				
530	83.983				
535	84.899				
540	85.111				
545	84.2				
550	83.222				
555	82.707				
560	82.822				
565	83.791				
570	85.4				
575	87.417				
580	89.283				
585	90.393				
590	90.471				
595	89.781				
600	88.703				
605	87.968				
610	86.851				
615	86.756				
620	87.171				
625	88.324				
630	89.275				
635	90.655				
640	91.852				
645	92.175				
650	91.95				
655	91.578				
660	90.593				
665	89.323				
670	88.231				
675	87.509				
680	87.19				
685	87.22				
690	87.822				
695	88.627				
700	89.526				
705	89.593				
710	89.65				
715	89.699				
720	89.741				
725	89.778				
730	89.809				
735	89.836				
740	89.859				
745	89.879				
750	89.896				
755	89.91				
760	89.923				
765	89.934				
770	89.943				
775	89.951				
780	89.958				
785	89.964				
790	89.969				
795	89.973				
800	89.976				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
