Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	29.149	#9EA0A2	Lee Filters	Neutral Density Frost	225
410	29.465				
415	29.834				
420	30.192				
425	30.597				
430	31.056				
435	31.453				
440	32.036				
445	32.697				
450	33.385				
455	34.182				
460	35.024				
465	35.778				
470	36.462				
475	37.112				
480	37.741				
485	38.292				
490	38.826				
495	39.196				
500	39.335				
505	39.444				
510	39.246				
515	38.956				
520	38.589				
525	38.206				
530	37.756				
535	37.202				
540	36.747				
545	36.393				
550	36.054				
555	35.87				
560	35.698				
565	35.636				
570	35.617				
575	35.746				
580	36.103				
585	36.173				
590	36.348				
595	36.711				
600	37.026				
605	37.313				
610	37.521				
615	37.945				
620	38.199				
625	38.688				
630	39.537				
635	40.569				
640	41.752				
645	43.112				
650	44.6				
655	46.055				
660	47.525				
665	49.426				
670	51.355				
675	53.436				
680	55.783				
685	57.936				
690	60.147				
695	61.717				
700	63.248				
705	67.009				
710	70.242				
715	73.02				
720	75.407				
725	77.459				
730	79.222				
735	80.737				
740	82.04				
745	83.159				
750	84.121				
755	84.947				
760	85.658				
765	86.268				
770	86.793				
775	87.244				
780	87.631				
785	87.964				
790	88.25				
795	88.496				
800	88.668				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
