Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	13.243	#DCBE8C	Lee Filters	Super Correction L.C.T. Yellow	230
410	14.972				
415	16.513				
420	17.816				
425	18.398				
430	18.641				
435	19.242				
440	20.432				
445	21.896				
450	23.025				
455	23.782				
460	24.954				
465	26.674				
470	28.962				
475	31.633				
480	34.415				
485	36.921				
490	39.022				
495	40.498				
500	40.986				
505	40.915				
510	40.655				
515	40.305				
520	39.833				
525	39.376				
530	38.937				
535	38.485				
540	38.538				
545	38.547				
550	38.519				
555	38.457				
560	38.436				
565	38.658				
570	39.44				
575	40.955				
580	42.864				
585	44.523				
590	46.144				
595	47.23				
600	47.465				
605	47.218				
610	46.67				
615	46.437				
620	46.53				
625	47.13				
630	48.332				
635	50.088				
640	52.301				
645	54.179				
650	55.846				
655	56.717				
660	56.405				
665	54.864				
670	53.588				
675	54.056				
680	56.339				
685	60.929				
690	67.594				
695	74.281				
700	79.694				
705	81.143				
710	82.388				
715	83.458				
720	84.378				
725	85.169				
730	85.848				
735	86.432				
740	86.933				
745	87.364				
750	87.735				
755	88.053				
760	88.327				
765	88.562				
770	88.764				
775	88.938				
780	89.087				
785	89.216				
790	89.326				
795	89.421				
800	89.487				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
