Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	12.911	#FAC795	Lee Filters	H.M.I. (to Tungsten)	236
410	14.592				
415	16.233				
420	17.177				
425	17.492				
430	17.822				
435	18.343				
440	19.313				
445	20.641				
450	21.814				
455	22.48				
460	22.988				
465	24.443				
470	27.174				
475	30.501				
480	33.8				
485	37.038				
490	40.022				
495	42.2				
500	43.26				
505	43.621				
510	43.954				
515	44.18				
520	44.182				
525	43.886				
530	43.99				
535	45.02				
540	46.713				
545	48.546				
550	50.261				
555	51.535				
560	52.894				
565	54.808				
570	57.548				
575	60.704				
580	64.114				
585	67.26				
590	70.741				
595	74.77				
600	79.041				
605	82.579				
610	84.872				
615	85.573				
620	85.486				
625	85.652				
630	86.088				
635	87.655				
640	89.605				
645	91.22				
650	91.481				
655	91.016				
660	89.84				
665	88.173				
670	87.589				
675	87.331				
680	88.21				
685	89.194				
690	90.379				
695	91.363				
700	91.653				
705	91.421				
710	91.221				
715	91.049				
720	90.902				
725	90.775				
730	90.666				
735	90.572				
740	90.492				
745	90.423				
750	90.363				
755	90.312				
760	90.268				
765	90.231				
770	90.198				
775	90.17				
780	90.146				
785	90.126				
790	90.108				
795	90.093				
800	90.082				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
