Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	19.23	#F5B9AA	Lee Filters	C.S.I. (to Tungsten)	238
410	19.865				
415	20.02				
420	20.0				
425	20.097				
430	20.218				
435	20.343				
440	21.155				
445	22.471				
450	23.736				
455	24.76				
460	25.677				
465	27.437				
470	30.526				
475	34.737				
480	39.01				
485	42.374				
490	44.67				
495	46.104				
500	46.419				
505	45.078				
510	42.198				
515	38.841				
520	36.198				
525	34.476				
530	33.427				
535	32.206				
540	29.862				
545	26.439				
550	22.632				
555	19.238				
560	16.982				
565	16.626				
570	18.472				
575	22.736				
580	29.232				
585	36.263				
590	43.3				
595	49.65				
600	54.912				
605	58.729				
610	60.654				
615	61.326				
620	61.404				
625	61.688				
630	62.507				
635	64.242				
640	66.614				
645	68.934				
650	70.558				
655	71.478				
660	72.006				
665	72.27				
670	73.295				
675	74.928				
680	77.752				
685	80.996				
690	84.051				
695	86.876				
700	88.359				
705	88.362				
710	88.369				
715	88.38				
720	88.4				
725	88.435				
730	88.496				
735	88.597				
740	88.75				
745	88.959				
750	89.202				
755	89.442				
760	89.64				
765	89.782				
770	89.873				
775	89.928				
780	89.96				
785	89.978				
790	89.988				
795	89.993				
800	89.996				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
