Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	35.673	#CDCDCD	Lee Filters	Polariser	239
410	36.752				
415	37.82				
420	38.773				
425	39.564				
430	40.512				
435	41.368				
440	41.876				
445	42.879				
450	43.566				
455	44.472				
460	45.515				
465	46.306				
470	46.591				
475	46.633				
480	46.482				
485	46.843				
490	47.02				
495	47.094				
500	46.977				
505	47.212				
510	47.778				
515	48.466				
520	49.186				
525	49.425				
530	49.31				
535	48.802				
540	48.183				
545	47.673				
550	47.034				
555	46.446				
560	45.754				
565	44.8				
570	44.372				
575	44.978				
580	44.147				
585	43.245				
590	42.218				
595	43.081				
600	43.425				
605	42.229				
610	41.805				
615	41.624				
620	42.046				
625	43.023				
630	44.192				
635	44.939				
640	45.537				
645	45.978				
650	46.197				
655	46.44				
660	46.596				
665	46.997				
670	47.503				
675	48.413				
680	49.373				
685	50.652				
690	52.13				
695	53.552				
700	54.848				
705	59.79				
710	64.038				
715	67.688				
720	70.825				
725	73.521				
730	75.838				
735	77.829				
740	79.54				
745	81.011				
750	82.274				
755	83.361				
760	84.294				
765	85.096				
770	85.786				
775	86.378				
780	86.887				
785	87.325				
790	87.701				
795	88.024				
800	88.25				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
