Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	30.813	#B9E6B9	Lee Filters	LEE Fluorescent 4300 Kelvin	242
410	31.634				
415	32.498				
420	33.205				
425	33.373				
430	33.238				
435	33.606				
440	34.579				
445	35.293				
450	35.191				
455	36.089				
460	38.251				
465	41.579				
470	44.919				
475	47.199				
480	49.201				
485	52.358				
490	56.462				
495	60.282				
500	62.363				
505	62.352				
510	61.231				
515	60.268				
520	59.851				
525	59.179				
530	58.102				
535	56.213				
540	53.096				
545	48.776				
550	44.053				
555	39.392				
560	35.976				
565	34.188				
570	33.738				
575	33.964				
580	34.043				
585	33.291				
590	31.555				
595	28.938				
600	25.969				
605	23.498				
610	21.995				
615	21.123				
620	20.794				
625	20.832				
630	21.274				
635	22.008				
640	22.775				
645	23.197				
650	22.871				
655	21.451				
660	19.194				
665	16.83				
670	15.962				
675	16.232				
680	18.445				
685	23.109				
690	29.942				
695	37.5				
700	44.513				
705	50.908				
710	56.404				
715	61.128				
720	65.187				
725	68.676				
730	71.674				
735	74.25				
740	76.465				
745	78.368				
750	80.003				
755	81.409				
760	82.617				
765	83.655				
770	84.547				
775	85.313				
780	85.972				
785	86.539				
790	87.025				
795	87.444				
800	87.735				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
