Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	58.576	#F0FCD2	Lee Filters	Half Plus Green	245
410	58.148				
415	58.37				
420	58.227				
425	58.887				
430	59.478				
435	59.051				
440	57.55				
445	57.29				
450	59.084				
455	61.693				
460	63.383				
465	63.865				
470	64.678				
475	67.686				
480	72.069				
485	76.327				
490	78.629				
495	79.643				
500	80.612				
505	82.719				
510	85.228				
515	86.97				
520	87.843				
525	87.605				
530	87.741				
535	88.029				
540	88.129				
545	87.76				
550	86.887				
555	85.74				
560	85.569				
565	85.686				
570	85.989				
575	86.037				
580	84.648				
585	81.922				
590	78.89				
595	75.583				
600	73.311				
605	72.184				
610	72.634				
615	73.562				
620	74.224				
625	74.291				
630	74.054				
635	73.035				
640	72.106				
645	71.034				
650	69.577				
655	67.296				
660	63.397				
665	59.415				
670	58.155				
675	58.966				
680	62.669				
685	68.768				
690	74.547				
695	78.597				
700	81.183				
705	82.423				
710	83.488				
715	84.404				
720	85.19				
725	85.867				
730	86.448				
735	86.947				
740	87.376				
745	87.745				
750	88.062				
755	88.335				
760	88.569				
765	88.77				
770	88.943				
775	89.092				
780	89.219				
785	89.329				
790	89.423				
795	89.504				
800	89.561				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
