Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	81.538	#FFECF0	Lee Filters	Quarter Minus Green	249
410	81.138				
415	80.324				
420	79.267				
425	79.393				
430	80.464				
435	81.634				
440	81.47				
445	80.189				
450	79.872				
455	81.532				
460	84.748				
465	86.818				
470	86.593				
475	84.728				
480	83.635				
485	84.023				
490	85.867				
495	87.548				
500	87.294				
505	84.521				
510	81.044				
515	78.155				
520	77.293				
525	77.848				
530	79.454				
535	79.753				
540	77.997				
545	74.41				
550	69.898				
555	66.313				
560	65.155				
565	66.845				
570	70.901				
575	76.271				
580	81.591				
585	84.823				
590	86.603				
595	87.109				
600	87.093				
605	87.244				
610	87.75				
615	88.748				
620	89.466				
625	90.542				
630	91.359				
635	91.808				
640	91.828				
645	91.867				
650	91.538				
655	91.469				
660	91.437				
665	91.103				
670	91.185				
675	91.301				
680	91.214				
685	91.08				
690	90.776				
695	90.704				
700	90.359				
705	90.309				
710	90.265				
715	90.228				
720	90.196				
725	90.168				
730	90.145				
735	90.124				
740	90.107				
745	90.092				
750	90.079				
755	90.068				
760	90.058				
765	90.05				
770	90.043				
775	90.037				
780	90.032				
785	90.027				
790	90.023				
795	90.02				
800	90.018				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
