Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	90.29	#FFFFFF	Lee Filters	LEE Heat Shield	269
410	90.908				
415	90.235				
420	89.392				
425	90.05				
430	91.552				
435	92.133				
440	91.265				
445	89.776				
450	89.342				
455	90.85				
460	92.775				
465	93.186				
470	92.102				
475	89.949				
480	88.878				
485	89.417				
490	91.612				
495	93.751				
500	94.234				
505	93.028				
510	91.025				
515	89.402				
520	89.056				
525	90.491				
530	92.479				
535	94.24				
540	94.76				
545	93.591				
550	91.753				
555	89.864				
560	88.617				
565	88.533				
570	90.437				
575	92.173				
580	94.111				
585	95.165				
590	94.992				
595	93.944				
600	92.211				
605	90.669				
610	89.372				
615	89.095				
620	89.843				
625	90.952				
630	92.524				
635	94.104				
640	95.161				
645	95.22				
650	94.664				
655	93.869				
660	92.251				
665	90.503				
670	89.74				
675	89.318				
680	89.055				
685	89.726				
690	90.713				
695	91.929				
700	92.976				
705	92.558				
710	92.198				
715	91.889				
720	91.623				
725	91.395				
730	91.199				
735	91.03				
740	90.886				
745	90.761				
750	90.654				
755	90.562				
760	90.483				
765	90.415				
770	90.357				
775	90.307				
780	90.264				
785	90.226				
790	90.195				
795	90.167				
800	90.148				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
