Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	79.768	#F3FFF3	Lee Filters	Eighth Plus Green	278
410	79.611				
415	77.383				
420	77.253				
425	80.172				
430	81.802				
435	79.593				
440	77.199				
445	77.989				
450	81.066				
455	83.327				
460	82.086				
465	79.915				
470	79.914				
475	82.897				
480	86.302				
485	87.71				
490	86.142				
495	84.326				
500	84.298				
505	86.485				
510	89.66				
515	91.272				
520	90.553				
525	88.453				
530	86.513				
535	86.223				
540	87.548				
545	89.483				
550	90.872				
555	91.313				
560	90.223				
565	88.548				
570	87.782				
575	87.118				
580	87.13				
585	87.32				
590	87.382				
595	87.012				
600	86.044				
605	85.54				
610	85.337				
615	85.297				
620	85.397				
625	85.492				
630	85.913				
635	86.006				
640	85.986				
645	85.543				
650	84.865				
655	83.506				
660	81.153				
665	78.408				
670	77.845				
675	77.995				
680	79.725				
685	82.577				
690	85.031				
695	86.417				
700	86.933				
705	86.939				
710	86.95				
715	86.971				
720	87.009				
725	87.075				
730	87.189				
735	87.377				
740	87.664				
745	88.053				
750	88.509				
755	88.957				
760	89.327				
765	89.592				
770	89.763				
775	89.866				
780	89.926				
785	89.959				
790	89.977				
795	89.988				
800	89.992				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
