Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	71.061	#CDE6FA	Lee Filters	Three Quarter C.T. Blue	281
410	73.444				
415	75.298				
420	76.431				
425	77.328				
430	77.946				
435	78.734				
440	80.167				
445	80.912				
450	80.736				
455	80.196				
460	79.878				
465	80.028				
470	80.317				
475	80.055				
480	78.835				
485	77.236				
490	75.259				
495	73.535				
500	71.473				
505	68.606				
510	64.88				
515	60.677				
520	56.731				
525	53.826				
530	51.613				
535	49.14				
540	45.263				
545	39.905				
550	34.021				
555	29.259				
560	26.651				
565	26.728				
570	29.255				
575	32.889				
580	36.503				
585	38.623				
590	39.021				
595	38.053				
600	36.177				
605	34.473				
610	33.44				
615	32.994				
620	32.922				
625	33.116				
630	33.767				
635	34.802				
640	35.818				
645	36.561				
650	36.356				
655	34.761				
660	31.702				
665	28.086				
670	26.292				
675	26.231				
680	28.32				
685	33.334				
690	40.328				
695	47.305				
700	53.4				
705	58.546				
710	62.968				
715	66.769				
720	70.035				
725	72.842				
730	75.254				
735	77.327				
740	79.109				
745	80.64				
750	81.956				
755	83.087				
760	84.059				
765	84.894				
770	85.612				
775	86.229				
780	86.759				
785	87.215				
790	87.606				
795	87.943				
800	88.178				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
