Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	58.842	#AFD9F5	Lee Filters	One and a Half C.T. Blue	283
410	62.907				
415	65.678				
420	66.95				
425	67.89				
430	69.512				
435	71.706				
440	72.732				
445	72.116				
450	71.346				
455	70.51				
460	69.682				
465	68.429				
470	66.56				
475	64.36				
480	62.001				
485	59.707				
490	57.047				
495	54.466				
500	51.238				
505	47.647				
510	43.523				
515	39.473				
520	35.785				
525	32.918				
530	30.548				
535	28.366				
540	25.364				
545	21.731				
550	17.787				
555	14.513				
560	12.416				
565	11.63				
570	12.085				
575	13.354				
580	15.334				
585	17.22				
590	18.579				
595	18.646				
600	17.463				
605	15.862				
610	14.468				
615	13.545				
620	12.933				
625	12.713				
630	13.134				
635	14.169				
640	15.648				
645	17.034				
650	17.681				
655	17.026				
660	14.966				
665	12.424				
670	11.013				
675	10.774				
680	11.951				
685	15.396				
690	21.559				
695	29.098				
700	37.004				
705	44.455				
710	50.858				
715	56.362				
720	61.091				
725	65.155				
730	68.648				
735	71.65				
740	74.23				
745	76.447				
750	78.353				
755	79.99				
760	81.398				
765	82.607				
770	83.647				
775	84.54				
780	85.307				
785	85.967				
790	86.534				
795	87.021				
800	87.361				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
