Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	7.821	#FFB464	Lee Filters	One and a Half C.T. Orange	286
410	7.985				
415	8.107				
420	8.236				
425	8.318				
430	8.265				
435	8.053				
440	7.748				
445	7.491				
450	7.423				
455	7.61				
460	8.152				
465	8.94				
470	10.048				
475	11.423				
480	13.127				
485	15.185				
490	17.602				
495	20.237				
500	22.574				
505	24.632				
510	26.514				
515	28.55				
520	30.886				
525	33.196				
530	34.948				
535	36.046				
540	36.757				
545	37.931				
550	40.261				
555	43.456				
560	47.072				
565	50.455				
570	53.455				
575	56.13				
580	59.056				
585	62.439				
590	66.857				
595	72.405				
600	77.999				
605	82.549				
610	85.06				
615	85.595				
620	84.848				
625	83.906				
630	83.81				
635	84.469				
640	86.314				
645	88.225				
650	90.204				
655	91.358				
660	91.453				
665	90.632				
670	89.325				
675	88.341				
680	87.718				
685	87.644				
690	88.663				
695	90.345				
700	91.91				
705	91.641				
710	91.411				
715	91.212				
720	91.042				
725	90.895				
730	90.77				
735	90.661				
740	90.568				
745	90.488				
750	90.42				
755	90.361				
760	90.31				
765	90.266				
770	90.229				
775	90.197				
780	90.169				
785	90.145				
790	90.125				
795	90.107				
800	90.095				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
